Head Lines,Sentiment,Stemmed,StopWords Removed,PosRemoval,stemming_posRemoval,PosRemoval_stemming,Stopwords_stemming,Pos_StopWords,StopWords_Pos,Stemming_StopWords,All Features 
AstraZeneca chases Acerta to secure next cancer drug winner,1, AstraZeneca chases Acerta secure next cancer drug winner, astrazeneca chase acerta to secur next cancer drug winner, chases secure next, chase secur next, astrazeneca secur next, astrazeneca chase acerta secur next cancer drug winner, chases next, chases secure next, astrazeneca chase acerta secur next cancer drug winner, astrazeneca secur next
"Prudential capital ratio beats forecasts, confirms UK head",1," Prudential capital ratio beats forecasts , confirms UK head"," prudenti capit ratio beat forecast , confirm UK head", Prudential UK, prudenti UK, beat confirm," prudenti capit ratio beat forecast , confirm UK head", Prudential UK, Prudential UK," prudenti capit ratio beat forecast , confirm UK head", beat confirm
CompaniesEx-City watchdog Turner joins Prudential board,0, CompaniesEx-City watchdog Turner joins Prudential board, companiesex-c watchdog turner join prudenti board, joins, join, companiesex-c, companiesex-c watchdog turner join prudenti board, joins, joins, companiesex-c watchdog turner join prudenti board, companiesex-c
"Militants fire rockets at Algerian BP/Statoil gas plant, no casualties",-1," Militants fire rockets Algerian BP/Statoil gas plant , casualties"," milit fire rocket at algerian bp/statoil ga plant , no casualti", fire Algerian, fire algerian, algerian," milit fire rocket algerian bp/statoil ga plant , casualti", fire Algerian, fire Algerian," milit fire rocket algerian bp/statoil ga plant , casualti", algerian
BG Group Still Happy With Shells $70 Billion Offer,0, BG Group Still Happy With Shells $ 70 Billion Offer, BG group still happi with shell $ 70 billion offer, Still, still, still happi, BG group still happi shell $ 70 billion offer, Still, Still, BG group still happi with shell $ 70 billion offer, still happi
CompaniesAstraZeneca wins nod for blockbuster hopeful,1, CompaniesAstraZeneca wins nod blockbuster hopeful, companiesastrazeneca win nod for blockbust hope, wins, win, win, companiesastrazeneca win nod blockbust hope, wins nod, wins, companiesastrazeneca win nod blockbust hope, blockbust
Shell to Lay Off Another 2200 Staff,0, Shell Lay Off Another 2200 Staff, shell to lay off anoth 2200 staff,,, lay, shell lay anoth 2200 staff,,, shell lay off anoth 2200 staff, lay anoth
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,0, Carnival Corporation China Merchants Group Sign Memo Understanding ..., carniv corpor and china merchant group sign memo of understand ..., Carnival, carniv, sign, carniv corpor china merchant group sign memo understand ..., Carnival, Carnival, carniv corpor china merchant group sign memo understand ...,
CompaniesDiageo stays neutral on India boardroom turmoil,0, CompaniesDiageo stays neutral India boardroom turmoil, companiesdiageo stay neutral on india boardroom turmoil, stays neutral, stay neutral, stay neutral india, companiesdiageo stay neutral india boardroom turmoil, stays neutral, stays neutral, companiesdiageo stay neutral india boardroom turmoil, stay neutral
Tesco to axe 10000 jobs in simplification drive to cut costs by 30 per cent,0, Tesco axe 10000 jobs simplification drive cut costs 30 per cent, tesco to axe 10000 job in simplif drive to cut cost by 30 per cent, axe cut, axe cut, axe simplif cut, tesco axe 10000 job simplif drive cut cost 30 per cent, axe costs, axe cut, tesco axe 10000 job simplif drive cut cost 30 per cent, axe drive cut
Tata Steel working with StanChart for UK unit sale - source,0, Tata Steel working StanChart UK unit sale - source, tata steel work with stanchart for UK unit sale - sourc, working, work,, tata steel work stanchart UK unit sale - sourc, working, working, tata steel work stanchart UK unit sale - sourc, stanchart
Sainsburys share price: Grocer launches click-and-collect,0, Sainsburys share price : Grocer launches click-and-collect, sainsburi share price : grocer launch click-and-collect, launches, launch, sainsburi launch click-and-collect, sainsburi share price : grocer launch click-and-collect, launches, launches, sainsburi share price : grocer launch click-and-collect, sainsburi launch click-and-collect
AO World shares tumble on profit warning,-1, AO World shares tumble profit warning, AO world share tumbl on profit warn, tumble, tumbl,, AO world share tumbl profit warn, tumble, tumble, AO world share tumbl profit warn, tumbl
Shell Targets Gains From Brazil to LNG With Takeover of BG Group,0, Shell Targets Gains From Brazil LNG With Takeover BG Group, shell target gain from brazil to lng with takeov of BG group, Gains, gain, lng, shell target gain brazil lng takeov BG group, Gains, Gains, shell target gain from brazil lng with takeov BG group, brazil takeov
Glencore tells investors it is on track to reduce debt: Barclays,0, Glencore tells investors track reduce debt : Barclays, glencor tell investor it is on track to reduc debt : barclay, tells is reduce, tell is reduc, is reduc, glencor tell investor track reduc debt : barclay, tells reduce, tells reduce, glencor tell investor track reduc debt : barclay, reduc
Whitbread boss Andy Harrison defends sales fall as just a blip,0, Whitbread boss Andy Harrison defends sales fall blip, whitbread boss andi harrison defend sale fall as just a blip, Whitbread defends as just, whitbread defend as just, whitbread defend just, whitbread boss andi harrison defend sale fall blip, Whitbread defends, Whitbread defends, whitbread boss andi harrison defend sale fall blip, whitbread defend
Borealis Infrastructure putting together new Severn Trent bid,0, Borealis Infrastructure putting together new Severn Trent bid, boreali infrastructur put togeth new severn trent bid, putting together new, put togeth new, put new severn, boreali infrastructur put togeth new severn trent bid, putting together new, putting together new, boreali infrastructur put togeth new severn trent bid, put new severn
AstraZeneca sells US drug rights to Perrigo for $380 mln,1, AstraZeneca sells US drug rights Perrigo $ 380 mln, astrazeneca sell US drug right to perrigo for $ 380 mln, sells, sell, sell perrigo, astrazeneca sell US drug right perrigo $ 380 mln, sells, sells, astrazeneca sell US drug right perrigo $ 380 mln, sell perrigo
Aggreko 2015 Profit Declines - Quick Facts,-1, Aggreko 2015 Profit Declines - Quick Facts, aggreko 2015 profit declin - quick fact, Aggreko Quick, aggreko quick, aggreko quick, aggreko 2015 profit declin - quick fact, Aggreko Quick, Aggreko Quick, aggreko 2015 profit declin - quick fact, aggreko quick
Pearson lags as UKs FTSE slips off record high,-1, Pearson lags UKs FTSE slips record high, pearson lag as uk ftse slip off record high, lags slips, lag slip, uk slip, pearson lag uk ftse slip record high, lags slips, lags slips, pearson lag uk ftse slip record high, uk high
Glencore sells agriculture stake for $2.5bn,1, Glencore sells agriculture stake $ 2.5bn, glencor sell agricultur stake for $ 2.5bn, sells agriculture, sell agricultur,, glencor sell agricultur stake $ 2.5bn, sells agriculture, sells agriculture, glencor sell agricultur stake $ 2.5bn, agricultur
Barclays says has spent $150 million on US living will,0, Barclays says spent $ 150 million US living, barclay say ha spent $ 150 million on US live will, says has spent, say ha spent, say ha spent live, barclay say ha spent $ 150 million US live, says spent, says spent, barclay say spent $ 150 million US live, say spent live
RBS share price: Group plans to slash 600 jobs,-1, RBS share price : Group plans slash 600 jobs, rb share price : group plan to slash 600 job, plans slash, plan slash, slash, rb share price : group plan slash 600 job, plans slash, plans slash, rb share price : group plan slash 600 job, slash
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,1, TRLPC - CRH backs Lafarge Holcim asset buy 6.5 bln euro bridge loan, trlpc - crh back lafarg holcim asset buy with 6.5 bln euro bridg loan, euro, euro, back lafarg euro, trlpc - crh back lafarg holcim asset buy 6.5 bln euro bridg loan,, euro, trlpc - crh back lafarg holcim asset buy 6.5 bln euro bridg loan, back lafarg buy
"Eurozone bank lending continues to recover, slowly, Barclays says",1," Eurozone bank lending continues recover , slowly , Barclays says"," eurozon bank lend continu to recov , slowli , barclay say", continues recover slowly says, continu recov slowli say, eurozon lend recov say," eurozon bank lend continu recov , slowli , barclay say", continues recover slowly says, continues recover slowly says," eurozon bank lend continu recov , slowli , barclay say", eurozon lend say
RBS breaks with past by tearing investment bank apart,0, RBS breaks past tearing investment bank apart, rb break with past by tear invest bank apart, past tearing apart, past tear apart, past tear invest, rb break past tear invest bank apart, tearing apart, past tearing apart, rb break past tear invest bank apart, tear invest
Aberdeen Asset Management Gains Foothold In China,1, Aberdeen Asset Management Gains Foothold In China, aberdeen asset manag gain foothold In china, Aberdeen, aberdeen, aberdeen, aberdeen asset manag gain foothold In china, Aberdeen, Aberdeen, aberdeen asset manag gain foothold In china, aberdeen
BP to pay investors $175m over Gulf spill claims,-1, BP pay investors $ 175m Gulf spill claims, BP to pay investor $ 175m over gulf spill claim, pay, pay, pay, BP pay investor $ 175m gulf spill claim,, pay, BP pay investor $ 175m gulf spill claim,
Persimmon sees post-election pick-up,0, Persimmon sees post-election pick-up, persimmon see post-elect pick-up, sees post-election, see post-elect, persimmon see post-elect, persimmon see post-elect pick-up, sees post-election, sees post-election, persimmon see post-elect pick-up, persimmon see post-elect
Fewer multi-buys hurt Sainsburys market share,-1, Fewer multi-buys hurt Sainsburys market share, fewer multi-buy hurt sainsburi market share, Fewer multi-buys, fewer multi-buy, fewer, fewer multi-buy hurt sainsburi market share, Fewer multi-buys, Fewer multi-buys, fewer multi-buy hurt sainsburi market share, fewer
Australia clears AB Inbevs $100 billion SABMiller buyout plan,1, Australia clears AB Inbevs $ 100 billion SABMiller buyout plan, australia clear AB inbev $ 100 billion sabmil buyout plan, clears, clear, clear inbev, australia clear AB inbev $ 100 billion sabmil buyout plan, clears, clears, australia clear AB inbev $ 100 billion sabmil buyout plan, clear inbev
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",1," London open : Taylor Wimpey Ashtead drive markets higher , Barclays falls"," london open : taylor wimpey and ashtead drive market higher , barclay fall", open higher falls, open higher fall, london open ashtead higher barclay," london open : taylor wimpey ashtead drive market higher , barclay fall", open higher falls, open higher falls," london open : taylor wimpey ashtead drive market higher , barclay fall", london open ashtead higher barclay
AstraZeneca profit down as sales of stalwarts fade,-1, AstraZeneca profit sales stalwarts fade, astrazeneca profit down as sale of stalwart fade,,,, astrazeneca profit sale stalwart fade, AstraZeneca fade,, astrazeneca profit sale stalwart fade,
Tesco Mobile Partners with Unlockd to Change the Way Consumers Use and Pay for Their Mobile Phones,1, Tesco Mobile Partners Unlockd Change Way Consumers Use Pay Their Mobile Phones, tesco mobil partner with unlockd to chang the way consum use and pay for their mobil phone, Change, chang, tesco unlockd chang, tesco mobil partner unlockd chang way consum use pay mobil phone,, Change, tesco mobil partner unlockd chang way consum use pay their mobil phone, tesco unlockd pay
Associated British Foods helps FTSE to rebound,1, Associated British Foods helps FTSE rebound, associ british food help ftse to rebound, helps rebound, help rebound, associ british rebound, associ british food help ftse rebound, helps, helps rebound, associ british food help ftse rebound, associ british
